Mida;SelectionSort_Ordered;BubbleSort_Ordered;QuickSort_Ordered;HeapSort_Ordered;DirectSort_Reverse;BubbleSort_Reverse;QuickSort_Reverse;HeapSort_Reverse;DirectSort_Random;BubbleSort_Random;QuickSort_Random;HeapSort_Random
5600;15677200;11198;59022;36797;15677200;31365598;53434;31791;15677200;8241728;52202;35126
5700;16242150;11398;60222;37520;16242150;32495698;54534;32671;16242150;8411724;55493;35884
5800;16817100;11598;61422;38256;16817100;33645798;55634;33090;16817100;9046440;52002;36563
5900;17402050;11798;62622;39089;17402050;34815898;56734;34136;17402050;9237834;54757;37371
6000;17997000;11998;63822;39883;17997000;36005998;57834;34583;17997000;9418430;54662;38055
6100;18601950;12198;65022;40758;18601950;37216098;58934;35522;18601950;9941370;55477;39000
6200;19216900;12398;66222;41489;19216900;38446198;60034;35891;19216900;10042380;58676;39432
6300;19841850;12598;67422;42143;19841850;39696298;61134;36765;19841850;10506732;63443;40205
6400;20476800;12798;68622;42861;20476800;40966398;62234;37119;20476800;10775916;55346;40903
6500;21121750;12998;69822;43533;21121750;42256498;63334;37809;21121750;11360252;67924;41538
6600;21776700;13198;71022;44307;21776700;43566598;64434;38100;21776700;11521854;62476;42418
6700;22441650;13398;72222;45075;22441650;44896698;65534;39017;22441650;11803638;63325;43053
6800;23116600;13598;73422;45810;23116600;46246798;66634;39405;23116600;12319788;65818;43787
6900;23801550;13798;74622;46610;23801550;47616898;67734;40214;23801550;12611372;66856;44589
7000;24496500;13998;75822;47385;24496500;49006998;68834;40603;24496500;13172118;76316;45194
7100;25201450;14198;77022;48267;25201450;50417098;69934;41526;25201450;13275130;71950;45990
7200;25916400;14398;78222;49097;25916400;51847198;71034;42117;25916400;13865274;69443;46916
7300;26641350;14598;79422;49830;26641350;53297298;72134;42836;26641350;14072472;68176;47683
7400;27376300;14798;80622;50631;27376300;54767398;73234;43257;27376300;14294868;70211;48234
7500;28121250;14998;81822;51434;28121250;56257498;74334;44301;28121250;15297960;68556;49031
7600;28876200;15198;83022;52279;28876200;57767598;75434;44845;28876200;15623544;74543;49861
7700;29641150;15398;84222;53166;29641150;59297698;76534;45742;29641150;16183298;76126;50668
7800;30416100;15598;85422;53977;30416100;60847798;77634;46043;30416100;16159528;77469;51507
7900;31201050;15798;86622;54867;31201050;62417898;78734;47034;31201050;16619496;80591;52418
8000;31996000;15998;87822;55763;31996000;64007998;79834;47694;31996000;16845894;85771;53098
8100;32800950;16198;89022;56688;32800950;65618098;80934;48498;32800950;17558632;73597;53936
8200;33615900;16398;90231;57686;33615900;67248198;82044;48894;33615900;18250974;84749;54856
8300;34440850;16598;91531;58167;34440850;68898298;83244;49954;34440850;18622956;91044;55612
8400;35275800;16798;92831;58758;35275800;70568398;84444;50440;35275800;18662578;81185;56130
8500;36120750;16998;94131;59356;36120750;72258498;85644;51018;36120750;19241736;76996;56717
8600;36975700;17198;95431;59971;36975700;73968598;86844;51404;36975700;19932482;82886;57256
8700;37840650;17398;96731;60689;37840650;75698698;88044;52446;37840650;19363974;80539;58219
8800;38715600;17598;98031;61277;38715600;77448798;89244;53039;38715600;20519268;78816;58606
8900;39600550;17798;99331;61942;39600550;79218898;90444;53774;39600550;21695762;102998;59335
9000;40495500;17998;100631;62631;40495500;81008998;91644;54192;40495500;21723586;90871;60082
9100;41400450;18198;101931;63360;41400450;82819098;92844;55406;41400450;21109680;88099;60698
9200;42315400;18398;103231;64154;42315400;84649198;94044;56015;42315400;22335172;88821;61472
9300;43240350;18598;104531;64787;43240350;86499298;95244;56539;43240350;23377686;91499;62187
9400;44175300;18798;105831;65428;44175300;88369398;96444;56831;44175300;23008752;87620;62726
9500;45120250;18998;107131;66144;45120250;90259498;97644;57872;45120250;24203452;100361;63508
9600;46075200;19198;108431;66882;46075200;92169598;98844;58505;46075200;23882312;94186;64192
9700;47040150;19398;109731;67651;47040150;94099698;100044;59053;47040150;24286296;96784;64869
9800;48015100;19598;111031;68368;48015100;96049798;101244;59625;48015100;25242224;110563;65572
9900;49000050;19798;112331;69110;49000050;98019898;102444;60640;49000050;25816592;95199;66395
10000;49995000;19998;113631;69925;49995000;100009998;103644;61330;49995000;26737326;98451;67044
